0,1,11,10,104,105,115,114
1,2,12,11,105,106,116,115
2,3,13,12,106,107,117,116
3,4,14,13,107,108,118,117
4,5,15,14,108,109,119,118
5,6,16,15,109,110,120,119
6,7,17,16,110,111,121,120
7,8,18,17,111,112,122,121
9,10,22,21,113,114,126,125
10,11,23,22,114,115,127,126
17,18,25,24,121,122,129,128
18,19,26,25,122,123,130,129
20,21,30,29,124,125,134,133
21,22,31,30,125,126,135,134
25,26,33,32,129,130,137,136
26,27,34,33,130,131,138,137
28,29,38,37,132,133,142,141
29,30,39,38,133,134,143,142
33,34,41,40,137,138,145,144
34,35,42,41,138,139,146,145
36,37,46,45,140,141,150,149
37,38,47,46,141,142,151,150
41,42,49,48,145,146,153,152
42,43,50,49,146,147,154,153
44,45,53,52,148,149,157,156
45,46,54,53,149,150,158,157
49,50,58,57,153,154,162,161
50,51,59,58,154,155,163,162
53,54,61,60,157,158,165,164
54,55,62,61,158,159,166,165
56,57,66,65,160,161,170,169
57,58,67,66,161,162,171,170
61,62,69,68,165,166,173,172
62,63,70,69,166,167,174,173
64,65,74,73,168,169,178,177
65,66,75,74,169,170,179,178
69,70,77,76,173,174,181,180
70,71,78,77,174,175,182,181
72,73,82,81,176,177,186,185
73,74,83,82,177,178,187,186
77,78,85,84,181,182,189,188
78,79,86,85,182,183,190,189
80,81,93,92,184,185,197,196
81,82,94,93,185,186,198,197
85,86,96,95,189,190,200,199
86,87,97,96,190,191,201,200
87,88,98,97,191,192,202,201
88,89,99,98,192,193,203,202
89,90,100,99,193,194,204,203
90,91,101,100,194,195,205,204
91,92,102,101,195,196,206,205
92,93,103,102,196,197,207,206
