0,1,16,15,124,125,140,139
1,2,17,16,125,126,141,140
2,3,18,17,126,127,142,141
3,4,19,18,127,128,143,142
4,5,20,19,128,129,144,143
5,6,21,20,129,130,145,144
6,7,22,21,130,131,146,145
7,8,23,22,131,132,147,146
8,9,24,23,132,133,148,147
9,10,25,24,133,134,149,148
10,11,26,25,134,135,150,149
11,12,27,26,135,136,151,150
12,13,28,27,136,137,152,151
13,14,29,28,137,138,153,152
15,16,31,30,139,140,155,154
28,29,33,32,152,153,157,156
30,31,35,34,154,155,159,158
32,33,43,42,156,157,167,166
34,35,45,44,158,159,169,168
35,36,46,45,159,160,170,169
36,37,47,46,160,161,171,170
37,38,48,47,161,162,172,171
39,40,50,49,163,164,174,173
40,41,51,50,164,165,175,174
41,42,52,51,165,166,176,175
42,43,53,52,166,167,177,176
47,48,55,54,171,172,179,178
49,50,57,56,173,174,181,180
54,55,59,58,178,179,183,182
56,57,61,60,180,181,185,184
58,59,63,62,182,183,187,186
60,61,65,64,184,185,189,188
62,63,67,66,186,187,191,190
64,65,69,68,188,189,193,192
66,67,74,73,190,191,198,197
68,69,76,75,192,193,200,199
70,71,81,80,194,195,205,204
71,72,82,81,195,196,206,205
72,73,83,82,196,197,207,206
73,74,84,83,197,198,208,207
75,76,86,85,199,200,210,209
76,77,87,86,200,201,211,210
77,78,88,87,201,202,212,211
78,79,89,88,202,203,213,212
80,81,91,90,204,205,215,214
88,89,93,92,212,213,217,216
90,91,95,94,214,215,219,218
92,93,108,107,216,217,232,231
94,95,110,109,218,219,234,233
95,96,111,110,219,220,235,234
96,97,112,111,220,221,236,235
97,98,113,112,221,222,237,236
98,99,114,113,222,223,238,237
99,100,115,114,223,224,239,238
100,101,116,115,224,225,240,239
101,102,117,116,225,226,241,240
102,103,118,117,226,227,242,241
103,104,119,118,227,228,243,242
104,105,120,119,228,229,244,243
105,106,121,120,229,230,245,244
106,107,122,121,230,231,246,245
107,108,123,122,231,232,247,246
