0,1,8,7,56,57,64,63
1,2,9,8,57,58,65,64
2,3,10,9,58,59,66,65
3,4,11,10,59,60,67,66
4,5,12,11,60,61,68,67
5,6,13,12,61,62,69,68
7,8,15,14,63,64,71,70
12,13,17,16,68,69,73,72
14,15,19,18,70,71,75,74
16,17,24,23,72,73,80,79
18,19,29,28,74,75,85,84
19,20,30,29,75,76,86,85
20,21,31,30,76,77,87,86
21,22,32,31,77,78,88,87
23,24,34,33,79,80,90,89
24,25,35,34,80,81,91,90
25,26,36,35,81,82,92,91
26,27,37,36,82,83,93,92
31,32,39,38,87,88,95,94
36,37,41,40,92,93,97,96
38,39,43,42,94,95,99,98
40,41,48,47,96,97,104,103
42,43,50,49,98,99,106,105
43,44,51,50,99,100,107,106
44,45,52,51,100,101,108,107
45,46,53,52,101,102,109,108
46,47,54,53,102,103,110,109
47,48,55,54,103,104,111,110
