0,120
3,123
6,138
9,141
12,144
15,147
18,162
21,165
24,168
27,171
30,174
33,177
36,189
39,192
42,195
45,198
48,201
51,204
54,207
57,210
60,216
63,219
66,222
69,225
72,228
75,231
78,234
81,237
84,240
87,243
90,246
93,249
96,252
99,255
132,78
135,81
150,60
153,63
156,96
159,99
180,84
183,87
186,108
189,111
210,102
213,105
216,126
219,129
234,114
237,117
240,150
243,153
252,132
255,135
258,378
261,381
264,396
267,399
270,402
273,405
276,420
279,423
282,426
285,429
288,432
291,435
294,447
297,450
300,453
303,456
306,459
309,462
312,465
315,468
318,474
321,477
324,480
327,483
330,486
333,489
336,492
339,495
342,498
345,501
348,504
351,507
354,510
357,513
390,336
393,339
408,318
411,321
414,354
417,357
438,342
441,345
444,366
447,369
468,360
471,363
474,384
477,387
492,372
495,375
498,408
501,411
510,390
513,393
1,121
4,124
7,139
10,142
13,145
16,148
19,163
22,166
25,169
28,172
31,175
34,178
37,190
40,193
43,196
46,199
49,202
52,205
55,208
58,211
61,217
64,220
67,223
70,226
73,229
76,232
79,235
82,238
85,241
88,244
91,247
94,250
97,253
100,256
133,79
136,82
151,61
154,64
157,97
160,100
181,85
184,88
187,109
190,112
211,103
214,106
217,127
220,130
235,115
238,118
241,151
244,154
253,133
256,136
259,379
262,382
265,397
268,400
271,403
274,406
277,421
280,424
283,427
286,430
289,433
292,436
295,448
298,451
301,454
304,457
307,460
310,463
313,466
316,469
319,475
322,478
325,481
328,484
331,487
334,490
337,493
340,496
343,499
346,502
349,505
352,508
355,511
358,514
391,337
394,340
409,319
412,322
415,355
418,358
439,343
442,346
445,367
448,370
469,361
472,364
475,385
478,388
493,373
496,376
499,409
502,412
511,391
514,394
2,122
5,125
8,140
11,143
14,146
17,149
20,164
23,167
26,170
29,173
32,176
35,179
38,191
41,194
44,197
47,200
50,203
53,206
56,209
59,212
62,218
65,221
68,224
71,227
74,230
77,233
80,236
83,239
86,242
89,245
92,248
95,251
98,254
101,257
134,80
137,83
152,62
155,65
158,98
161,101
182,86
185,89
188,110
191,113
212,104
215,107
218,128
221,131
236,116
239,119
242,152
245,155
254,134
257,137
260,380
263,383
266,398
269,401
272,404
275,407
278,422
281,425
284,428
287,431
290,434
293,437
296,449
299,452
302,455
305,458
308,461
311,464
314,467
317,470
320,476
323,479
326,482
329,485
332,488
335,491
338,494
341,497
344,500
347,503
350,506
353,509
356,512
359,515
392,338
395,341
410,320
413,323
416,356
419,359
440,344
443,347
446,368
449,371
470,362
473,365
476,386
479,389
494,374
497,377
500,410
503,413
512,392
515,395
