0,1,4,3,86,87,90,89
2,3,8,7,88,89,94,93
3,4,9,8,89,90,95,94
4,5,10,9,90,91,96,95
6,7,14,13,92,93,100,99
7,8,15,14,93,94,101,100
9,10,17,16,95,96,103,102
10,11,18,17,96,97,104,103
12,13,22,21,98,99,108,107
13,14,23,22,99,100,109,108
17,18,25,24,103,104,111,110
18,19,26,25,104,105,112,111
20,21,29,28,106,107,115,114
21,22,30,29,107,108,116,115
25,26,32,31,111,112,118,117
26,27,33,32,112,113,119,118
28,29,35,34,114,115,121,120
32,33,37,36,118,119,123,122
34,35,39,38,120,121,125,124
36,37,43,42,122,123,129,128
38,39,45,44,124,125,131,130
40,41,48,47,126,127,134,133
42,43,51,50,128,129,137,136
44,45,53,52,130,131,139,138
46,47,56,55,132,133,142,141
47,48,57,56,133,134,143,142
48,49,58,57,134,135,144,143
50,51,61,60,136,137,147,146
52,53,63,62,138,139,149,148
54,55,65,64,140,141,151,150
55,56,66,65,141,142,152,151
57,58,68,67,143,144,154,153
58,59,69,68,144,145,155,154
60,61,71,70,146,147,157,156
62,63,73,72,148,149,159,158
63,64,74,73,149,150,160,159
64,65,75,74,150,151,161,160
68,69,77,76,154,155,163,162
69,70,78,77,155,156,164,163
70,71,79,78,156,157,165,164
72,73,81,80,158,159,167,166
73,74,82,81,159,160,168,167
77,78,84,83,163,164,170,169
78,79,85,84,164,165,171,170
