0,1,9,8,48,49,57,56
1,2,10,9,49,50,58,57
2,3,11,10,50,51,59,58
3,4,12,11,51,52,60,59
4,5,13,12,52,53,61,60
5,6,14,13,53,54,62,61
6,7,15,14,54,55,63,62
8,9,17,16,56,57,65,64
14,15,19,18,62,63,67,66
16,17,21,20,64,65,69,68
18,19,23,22,66,67,71,70
20,21,25,24,68,69,73,72
22,23,27,26,70,71,75,74
24,25,29,28,72,73,77,76
26,27,31,30,74,75,79,78
28,29,33,32,76,77,81,80
30,31,39,38,78,79,87,86
32,33,41,40,80,81,89,88
33,34,42,41,81,82,90,89
34,35,43,42,82,83,91,90
35,36,44,43,83,84,92,91
36,37,45,44,84,85,93,92
37,38,46,45,85,86,94,93
38,39,47,46,86,87,95,94
